experiment_id,element,rotation,size,color,total_events,time_spent,num_selects,num_moves,num_resizes,num_color_changes,relatedness_cottle,dominance_cottle,timeflow_arc
dbadf489-4741-48df-9956-881b83793eda,morning,245.0,60,black,0,568,0,0,0,0,4,4,351.0
dbadf489-4741-48df-9956-881b83793eda,afternoon,236.0,46,black,0,312,0,0,0,0,4,2,130.5
dbadf489-4741-48df-9956-881b83793eda,night,6.5,31,black,0,0,0,0,0,0,0,0,238.5
36acb0a1-4f13-474e-84c8-a3bf32094014,morning,91.08617549649489,139.6173072692492,yellow,42,30400,4,0,37,1,4,2,242.34570253294788
36acb0a1-4f13-474e-84c8-a3bf32094014,afternoon,333.43187802944277,122.8992353339154,darkviolet,47,23042,3,27,16,1,8,0,247.33979741904858
36acb0a1-4f13-474e-84c8-a3bf32094014,night,220.77167544849135,128.58696993618128,red,30,16677,4,0,24,2,6,0,230.31450004800354
2f1d3b5f-dda9-4a1e-bffc-b8965f5da3fe,morning,259.61673018418406,94.76653963163184,black,19,15491,0,0,19,0,4,0,246.752783555931
2f1d3b5f-dda9-4a1e-bffc-b8965f5da3fe,afternoon,146.36951374011505,98.73902748022894,black,97,25356,0,0,97,0,6,0,262.9243371550995
2f1d3b5f-dda9-4a1e-bffc-b8965f5da3fe,night,49.293850895214575,181.41229820957082,red,46,18025,0,0,45,1,6,4,210.3228792889695
506b3775-97b4-4439-b87d-23b1ffd41f4a,morning,186.84622579602845,52.14820543321862,green,34,32241,1,0,32,1,4,0,227.82998378641324
506b3775-97b4-4439-b87d-23b1ffd41f4a,afternoon,54.676209582441686,211.41304837049896,yellow,59,39620,4,0,54,1,4,4,206.1223854630478
506b3775-97b4-4439-b87d-23b1ffd41f4a,night,260.7985950454895,95.39846184181039,black,56,31854,4,0,52,0,4,2,286.04763075053893
4750cf0f-34af-4f39-88ec-971ac4899dd7,morning,142.02015037989239,90.04030075978471,yellow,8,6213,2,0,5,1,4,0,256.84121337819954
4750cf0f-34af-4f39-88ec-971ac4899dd7,afternoon,38.861363758091954,116.22196440295478,red,34,16634,2,3,28,1,4,2,224.22321935523274
4750cf0f-34af-4f39-88ec-971ac4899dd7,night,263.0845831133247,154.16429296102484,black,48,28284,3,10,35,0,4,4,238.9355672665677
874fc218-b0b2-4604-ad6d-0e74c8df50b7,morning,235.05993594824707,63.88012810350588,darkviolet,9,26110,0,0,8,1,4,0,251.63628038109482
874fc218-b0b2-4604-ad6d-0e74c8df50b7,afternoon,126.6962163293419,164.6075673413162,yellow,29,18087,0,0,28,1,4,4,208.8783162161405
874fc218-b0b2-4604-ad6d-0e74c8df50b7,night,335.5745325454824,137.631301462681,saddlebrown,69,43605,0,0,68,1,4,2,259.4854034027647
