experiment_id,element,center_x,center_y,size_x,size_y,color,default_size,total_events,time_spent,num_selects,num_moves,num_resizes,num_color_changes,relatedness_cottle,dominance_cottle,timeflow_angle,timeflow_length,timeflow_vector_angle
dbadf489-4741-48df-9956-881b83793eda,summer,512,427,100,100,black,yes,0,0,0,0,0,0,2,0,165.37912601136836,356.5459297201414,-98.26174148985368
dbadf489-4741-48df-9956-881b83793eda,autum,167,337,100,100,black,yes,0,285,0,0,0,0,0,0,3.7313969991604465,230.4886114323222,-161.6477290122079
dbadf489-4741-48df-9956-881b83793eda,winter,397,322,100,100,black,yes,0,284,0,0,0,0,2,0,56.193596025747205,273.19040978775223,52.462199026586745
dbadf489-4741-48df-9956-881b83793eda,spring,549,95,100,100,black,yes,0,694,0,0,0,0,0,0,-96.359132498778,334.0553846295551,-152.5527285245252
36acb0a1-4f13-474e-84c8-a3bf32094014,summer,294.37841796875,380.8173828125,228.7568359375,128.365234375,blue,no,12,5167,0,0,11,1,6,0,29.098805911853596,269.2219667812937,119.51247763236825
36acb0a1-4f13-474e-84c8-a3bf32094014,autum,529.6198230492882,249.89011776307598,229.2396460985765,129.76724982541054,saddlebrown,no,102,17437,1,52,48,1,6,0,-90.22589813904307,132.1804917072262,-119.32470405089664
36acb0a1-4f13-474e-84c8-a3bf32094014,winter,529.0986808292218,382.06958212403697,228.1973616584437,122.13916424807394,grey,no,65,10042,0,30,34,1,6,0,150.30437739140083,269.1090240103527,-119.4697244695561
36acb0a1-4f13-474e-84c8-a3bf32094014,spring,295.3319158554077,248.75504279136658,227.33616828918457,124.37506055831909,green,no,100,31092,0,59,40,1,6,0,-90.41367172051466,132.06578213177445,119.28195088808451
2f1d3b5f-dda9-4a1e-bffc-b8965f5da3fe,summer,714,206,100,100,grey,yes,12,18158,0,11,0,1,0,0,176.75611048728126,586.5574645641656,177.96470291930814
2f1d3b5f-dda9-4a1e-bffc-b8965f5da3fe,autum,128.3823699746281,172.8088770993054,155.23526005074382,156.38224580138922,red,no,21,28669,0,6,14,1,4,4,-1.975191536966257,188.13462630147401,-178.7313020242475
2f1d3b5f-dda9-4a1e-bffc-b8965f5da3fe,winter,316.4052150431089,179.29326958814636,318.5994925862178,285.3197108237073,black,no,33,22671,0,18,15,0,4,6,-7.697709841102877,162.05513598933848,-5.722518304136628
2f1d3b5f-dda9-4a1e-bffc-b8965f5da3fe,spring,477,201,100,100,saddlebrown,yes,41,14272,0,40,0,1,4,0,-1.2085924320268584,237.05273674859777,6.489117409076016
af873a6e-15df-4a37-977e-ccd57d3c7480,summer,482.99898162377355,214.3540410256187,191.9979615888367,107.87996086161371,red,no,6,9326,0,0,5,1,2,6,-149.22256620743755,251.40672787923847,130.588622796187
af873a6e-15df-4a37-977e-ccd57d3c7480,autum,267,343,100,100,saddlebrown,yes,5,5834,0,4,0,1,2,0,87.7974018382342,130.09611831257686,-122.98003195432827
af873a6e-15df-4a37-977e-ccd57d3c7480,winter,272,213,100,100,blue,yes,7,8487,0,6,0,1,2,0,-36.20086179857481,232.3572913892244,-123.99826363680901
af873a6e-15df-4a37-977e-ccd57d3c7480,spring,459.50104823708534,350.2343534678221,93.00209647417068,126.46870693564415,yellow,no,9,9259,0,6,2,1,2,4,80.18881099637548,137.89710723157336,116.38967279495029
506b3775-97b4-4439-b87d-23b1ffd41f4a,summer,385,241,100,100,yellow,yes,20,19854,1,18,0,1,6,0,135.27154194568453,149.20120642943877,135.27154194568453
506b3775-97b4-4439-b87d-23b1ffd41f4a,autum,279,136,100,100,saddlebrown,yes,3,9981,1,1,0,1,6,0,0.0,106.0,-135.27154194568453
506b3775-97b4-4439-b87d-23b1ffd41f4a,winter,385,136,100,100,blue,yes,14,13366,2,9,0,3,6,0,-135.27154194568453,149.20120642943877,-135.27154194568448
506b3775-97b4-4439-b87d-23b1ffd41f4a,spring,279,241,100,100,darkviolet,yes,21,11693,1,19,0,1,6,0,0.0,106.0,135.27154194568453
